Date,Open,High,Low,Close,Volume,Market Cap
"Jan 08, 2020","$ 8,161.94","$ 8,396.74","$ 7,956.77","$ 8,079.86","$ 31,67,25,59,265.00","$ 1,46,64,51,62,431.00"
"Jan 07, 2020","$ 7,768.68","$ 8,178.22","$ 7,768.23","$ 8,163.69","$ 28,76,72,91,327.00","$ 1,48,15,22,37,654.00"
"Jan 06, 2020","$ 7,410.45","$ 7,781.87","$ 7,409.29","$ 7,769.22","$ 23,27,62,61,598.00","$ 1,40,97,64,57,304.00"
"Jan 05, 2020","$ 7,410.45","$ 7,544.50","$ 7,400.54","$ 7,411.32","$ 19,72,50,74,095.00","$ 1,34,46,95,48,249.00"
"Jan 04, 2020","$ 7,345.38","$ 7,427.39","$ 7,309.51","$ 7,410.66","$ 18,44,42,71,275.00","$ 1,34,44,24,64,030.00"
"Jan 03, 2020","$ 6,984.43","$ 7,413.72","$ 6,915.00","$ 7,344.88","$ 28,11,14,81,032.00","$ 1,33,23,34,44,755.00"
"Jan 02, 2020","$ 7,202.55","$ 7,212.16","$ 6,935.27","$ 6,985.47","$ 20,80,20,83,465.00","$ 1,26,69,93,95,235.00"
"Jan 01, 2020","$ 7,194.89","$ 7,254.33","$ 7,174.94","$ 7,200.17","$ 18,56,56,64,997.00","$ 1,30,58,08,29,150.00"
"Dec 31, 2019","$ 7,294.44","$ 7,335.29","$ 7,169.78","$ 7,193.60","$ 21,16,79,46,112.00","$ 1,30,44,61,12,598.00"
"Dec 30, 2019","$ 7,420.27","$ 7,454.82","$ 7,276.31","$ 7,293.00","$ 22,87,41,31,672.00","$ 1,32,23,51,28,152.00"
"Dec 29, 2019","$ 7,317.65","$ 7,513.95","$ 7,279.87","$ 7,422.65","$ 22,44,52,57,702.00","$ 1,34,57,08,35,775.00"
"Dec 28, 2019","$ 7,289.03","$ 7,399.04","$ 7,286.91","$ 7,317.99","$ 21,36,56,73,026.00","$ 1,32,65,90,59,740.00"
"Dec 27, 2019","$ 7,238.14","$ 7,363.53","$ 7,189.93","$ 7,290.09","$ 22,77,73,60,996.00","$ 1,32,13,95,02,950.00"
"Dec 26, 2019","$ 7,274.80","$ 7,388.30","$ 7,200.39","$ 7,238.97","$ 22,78,70,10,034.00","$ 1,31,20,00,30,100.00"
"Dec 25, 2019","$ 7,325.76","$ 7,357.02","$ 7,220.99","$ 7,275.16","$ 21,55,95,05,149.00","$ 1,31,84,06,41,292.00"
"Dec 24, 2019","$ 7,354.39","$ 7,535.72","$ 7,269.53","$ 7,322.53","$ 22,99,16,22,105.00","$ 1,32,68,75,83,295.00"
"Dec 23, 2019","$ 7,508.90","$ 7,656.18","$ 7,326.19","$ 7,355.63","$ 27,83,17,88,041.00","$ 1,33,27,57,09,111.00"
"Dec 22, 2019","$ 7,191.19","$ 7,518.03","$ 7,167.18","$ 7,511.59","$ 23,13,45,37,956.00","$ 1,36,08,80,22,049.00"
"Dec 21, 2019","$ 7,220.59","$ 7,223.23","$ 7,112.74","$ 7,191.16","$ 19,31,25,52,168.00","$ 1,30,26,76,55,889.00"
"Dec 20, 2019","$ 7,208.64","$ 7,257.92","$ 7,086.12","$ 7,218.82","$ 22,63,38,15,180.00","$ 1,30,75,27,96,980.00"
"Dec 19, 2019","$ 7,277.59","$ 7,346.60","$ 7,041.38","$ 7,202.84","$ 25,90,46,04,416.00","$ 1,30,44,57,58,713.00"
"Dec 18, 2019","$ 6,647.70","$ 7,324.98","$ 6,540.05","$ 7,276.80","$ 31,83,65,22,778.00","$ 1,31,75,49,69,804.00"
"Dec 17, 2019","$ 6,931.32","$ 6,964.07","$ 6,587.97","$ 6,640.52","$ 22,36,38,04,217.00","$ 1,20,23,42,44,809.00"
"Dec 16, 2019","$ 7,153.66","$ 7,171.17","$ 6,903.68","$ 6,932.48","$ 20,21,32,65,950.00","$ 1,25,51,55,86,952.00"
"Dec 15, 2019","$ 7,124.24","$ 7,181.08","$ 6,924.38","$ 7,152.30","$ 16,88,11,29,804.00","$ 1,29,48,14,24,648.00"
"Dec 14, 2019","$ 7,268.90","$ 7,308.84","$ 7,097.21","$ 7,124.67","$ 17,13,70,29,730.00","$ 1,28,97,02,21,233.00"
"Dec 13, 2019","$ 7,244.66","$ 7,293.56","$ 7,227.12","$ 7,269.68","$ 17,12,57,36,940.00","$ 1,31,58,13,77,758.00"
"Dec 12, 2019","$ 7,216.74","$ 7,266.64","$ 7,164.74","$ 7,243.13","$ 18,92,70,80,224.00","$ 1,31,08,71,51,088.00"
"Dec 11, 2019","$ 7,277.20","$ 7,324.16","$ 7,195.53","$ 7,217.43","$ 16,35,04,90,689.00","$ 1,30,60,98,95,528.00"
